,utc_off,ua_no,ua_name,prev_sat,cur_sat,ho_utc,avail_sats,MS11,MS12,MS13,MS14,MS15,MS16,MS21,MS22,MS23,MS24,MS25,MS26,MS31,MS32,MS33,MS34,MS35,MS36
71,6,5,Hamilton,MS23,MS23,None,4,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
72,6,6,HimachalPradesh,MS12,MS12,None,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
73,6,7,Jarkhand,MS21,MS21,None,5,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
74,6,8,Mindenaa,MS22,MS22,None,4,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
75,6,9,Pretoria,MS16,MS16,None,6,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0
76,6,10,Quito,MS24,MS24,None,4,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
77,7,0,CapeTown,MS11,MS11,None,5,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
78,7,1,Davao,MS13,MS13,None,3,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
79,7,2,Durban,MS25,MS25,None,5,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
80,7,3,Edmington,MS14,MS14,None,6,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0
81,7,4,Halifax,MS31,MS31,None,4,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
82,7,5,Hamilton,MS23,MS23,None,4,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
83,7,6,HimachalPradesh,MS12,MS12,None,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
84,7,7,Jarkhand,MS21,MS21,None,5,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
85,7,8,Mindenaa,MS22,MS22,None,4,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
86,7,9,Pretoria,MS16,MS16,None,6,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0
87,7,10,Quito,MS24,MS24,None,4,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
88,8,0,CapeTown,MS11,MS11,None,5,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
89,8,1,Davao,MS13,MS13,None,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
90,8,2,Durban,MS25,MS25,None,5,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
91,8,3,Edmington,MS14,MS14,None,6,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0
92,8,4,Halifax,MS31,MS31,None,4,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
93,8,5,Hamilton,MS23,MS23,None,4,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
94,8,6,HimachalPradesh,MS12,MS12,None,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
95,8,7,Jarkhand,MS21,MS21,None,5,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
96,8,8,Mindenaa,MS22,ERR,None,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
97,8,9,Pretoria,MS16,MS16,None,6,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0
98,8,10,Quito,MS24,MS24,None,4,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
99,9,0,CapeTown,MS11,MS11,None,5,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
100,9,1,Davao,MS13,MS13,None,3,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
101,9,2,Durban,MS25,MS25,None,5,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
102,9,3,Edmington,MS14,MS14,None,6,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0
103,9,4,Halifax,MS31,MS31,None,4,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
104,9,5,Hamilton,MS23,MS23,None,4,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
105,9,6,HimachalPradesh,MS12,MS12,None,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
106,9,7,Jarkhand,MS21,MS21,None,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
107,9,8,Mindenaa,ERR,ERR,None,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
108,9,9,Pretoria,MS16,MS16,None,6,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0
109,9,10,Quito,MS24,MS24,None,4,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
110,10,0,CapeTown,MS11,MS11,None,5,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
111,10,1,Davao,MS13,MS13,None,3,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
112,10,2,Durban,MS25,MS25,None,5,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
113,10,3,Edmington,MS14,MS14,None,6,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0
114,10,4,Halifax,MS31,MS31,None,4,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
115,10,5,Hamilton,MS23,MS23,None,4,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
116,10,6,HimachalPradesh,MS12,MS12,None,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
117,10,7,Jarkhand,MS21,MS21,None,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
118,10,8,Mindenaa,ERR,ERR,None,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
119,10,9,Pretoria,MS16,MS16,None,6,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0
120,10,10,Quito,MS24,MS24,None,4,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
121,11,0,CapeTown,MS11,MS11,None,5,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
